type,subject
spam,loyalty card
spam,select any loan
spam,best launches of the week
spam,vote and win prizes
spam,how healthy is your scalp
spam,shop your favourite footwear
spam,learn to speak english in 30 days
spam,prime day sale is on
spam,rs 500 movie voucher
spam,full body medical checkup
spam,london vacation free
spam,final chance to buy
imp,I ll get back to you
imp,approval of the leave application
imp,transaction alert for your sbi account
imp,otp authentication
spam,100+ coupons
imp,jobs matching your profile
spam,getout on weekends
spam,this romance will make you swoon
imp,regarding links of programs
spam,price alert
spam,all the fun at half the cost
imp,your order id is:
spam,new deals
imp,minutes of the meeting
spam,offer ending today
imp,signup confirmation
imp,marks update in the portal
spam,new reviews
spam,grab your offer
imp,reminder about meeting
